symbol,date,adjusted_close_price
NVDA,2026-01-29,192.51
TSLA,2025-08-01,302.63
TSLA,2025-08-08,329.65
TSLA,2025-08-15,330.56
TSLA,2025-08-22,340.01
TSLA,2025-08-29,333.87
TSLA,2025-09-05,350.84
TSLA,2025-09-12,395.94
TSLA,2025-09-19,426.07
TSLA,2025-09-26,440.4
TSLA,2025-10-03,429.83
TSLA,2025-10-10,413.49
TSLA,2025-10-17,439.31
TSLA,2025-10-24,433.72
TSLA,2025-10-31,456.56
TSLA,2025-11-07,429.52
TSLA,2025-11-14,404.35
TSLA,2025-11-21,391.09
TSLA,2025-11-28,430.17
TSLA,2025-12-05,455
TSLA,2025-12-12,458.96
TSLA,2025-12-19,481.2
TSLA,2025-12-26,475.19
TSLA,2026-01-02,438.07
TSLA,2026-01-09,445.01
TSLA,2026-01-16,437.5
TSLA,2026-01-23,449.06
TSLA,2026-01-29,416.56
USDCAD=X,2025-08-01,1.3857
USDCAD=X,2025-08-08,1.3733
USDCAD=X,2025-08-15,1.3813
USDCAD=X,2025-08-22,1.39
USDCAD=X,2025-08-29,1.375
USDCAD=X,2025-09-05,1.3815
USDCAD=X,2025-09-12,1.3834
USDCAD=X,2025-09-19,1.3792
USDCAD=X,2025-09-26,1.3941
USDCAD=X,2025-10-03,1.3961
USDCAD=X,2025-10-10,1.4019
USDCAD=X,2025-10-17,1.4046
USDCAD=X,2025-10-24,1.3987
USDCAD=X,2025-10-31,1.3981
USDCAD=X,2025-11-07,1.4112
USDCAD=X,2025-11-14,1.4036
USDCAD=X,2025-11-21,1.4091
USDCAD=X,2025-11-28,1.4026
USDCAD=X,2025-12-05,1.396
USDCAD=X,2025-12-12,1.3776
USDCAD=X,2025-12-19,1.3777
USDCAD=X,2025-12-26,1.3672
USDCAD=X,2026-01-02,1.3716
USDCAD=X,2026-01-09,1.3864
USDCAD=X,2026-01-16,1.3888
USDCAD=X,2026-01-23,1.3784
USDCAD=X,2026-01-30,1.3492
USDEUR=X,2025-08-01,0.8754
USDEUR=X,2025-08-08,0.8564
USDEUR=X,2025-08-15,0.8583
USDEUR=X,2025-08-22,0.8611
USDEUR=X,2025-08-29,0.8561
USDEUR=X,2025-09-05,0.8579
USDEUR=X,2025-09-12,0.8522
USDEUR=X,2025-09-19,0.8481
USDEUR=X,2025-09-26,0.8574
USDEUR=X,2025-10-03,0.8529
USDEUR=X,2025-10-10,0.8646
USDEUR=X,2025-10-17,0.8547
USDEUR=X,2025-10-24,0.8607
USDEUR=X,2025-10-31,0.8641
USDEUR=X,2025-11-07,0.8659
USDEUR=X,2025-11-14,0.8597
USDEUR=X,2025-11-21,0.867
USDEUR=X,2025-11-28,0.8621
USDEUR=X,2025-12-05,0.8589
USDEUR=X,2025-12-12,0.8518
USDEUR=X,2025-12-19,0.8528
USDEUR=X,2025-12-26,0.8485
USDEUR=X,2026-01-02,0.851
USDEUR=X,2026-01-09,0.8578
USDEUR=X,2026-01-16,0.8614
USDEUR=X,2026-01-23,0.8507
USDEUR=X,2026-01-30,0.8357
USDHKD=X,2025-08-01,7.8499
USDHKD=X,2025-08-08,7.8493
USDHKD=X,2025-08-15,7.8346
USDHKD=X,2025-08-22,7.8139
USDHKD=X,2025-08-29,7.7941
USDHKD=X,2025-09-05,7.8002
USDHKD=X,2025-09-12,7.7886
USDHKD=X,2025-09-19,7.7771
USDHKD=X,2025-09-26,7.7827
USDHKD=X,2025-10-03,7.7825
USDHKD=X,2025-10-10,7.7823
USDHKD=X,2025-10-17,7.7708
USDHKD=X,2025-10-24,7.7718
USDHKD=X,2025-10-31,7.7691
USDHKD=X,2025-11-07,7.7756
USDHKD=X,2025-11-14,7.771
USDHKD=X,2025-11-21,7.7835
USDHKD=X,2025-11-28,7.7787
USDHKD=X,2025-12-05,7.7818
USDHKD=X,2025-12-12,7.782
USDHKD=X,2025-12-19,7.781
USDHKD=X,2025-12-26,7.7761
USDHKD=X,2026-01-02,7.7853
USDHKD=X,2026-01-09,7.792
USDHKD=X,2026-01-16,7.7974
USDHKD=X,2026-01-23,7.7967
USDHKD=X,2026-01-30,7.8055
USDINR=X,2025-08-01,87.4894
USDINR=X,2025-08-08,87.4332
USDINR=X,2025-08-15,87.6918
USDINR=X,2025-08-22,87.2934
USDINR=X,2025-08-29,87.5917
USDINR=X,2025-09-05,88.1929
USDINR=X,2025-09-12,88.2676
USDINR=X,2025-09-19,88.2069
USDINR=X,2025-09-26,88.7731
USDINR=X,2025-10-03,88.7202
USDINR=X,2025-10-10,88.8654
USDINR=X,2025-10-17,87.9907
USDINR=X,2025-10-24,87.779
USDINR=X,2025-10-31,88.6345
USDINR=X,2025-11-07,88.673
USDINR=X,2025-11-14,88.8161
USDINR=X,2025-11-21,88.6922
USDINR=X,2025-11-28,89.3648
USDINR=X,2025-12-05,89.8364
USDINR=X,2025-12-12,90.253
USDINR=X,2025-12-19,90.2558
USDINR=X,2025-12-26,90.1059
USDINR=X,2026-01-02,89.9619
USDINR=X,2026-01-09,89.9054
USDINR=X,2026-01-16,90.3616
USDINR=X,2026-01-23,91.5583
USDINR=X,2026-01-30,91.7819
USDJPY=X,2025-08-01,150.772
USDJPY=X,2025-08-08,146.837
USDJPY=X,2025-08-15,147.691
